"title","url","maker","type","year","km","price"
"VERIFIED CAR! MERCEDES BENZ C250 2017 - WARRA...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/22/verified-car-mercedes-benz-c250-2017-warra-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=37","Mercedes-Benz","C-Class","2017","46,000","149000"
"Mercedes C300 coupe 2018","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/5/mercedes-c300-coupe-2018-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=38","Mercedes-Benz","C-Class","2018","1,900","168000"
"C 300 Red interior full 63 kit AMG","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/5/19/c300-panoramic-plus-63-kit-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=39","Mercedes-Benz","C-Class","2016","40,000","103000"
"C class 300 + original AMG 63 kit + carbon fi...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/5/19/original-paint-amg-original-fully-loaded-c-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=40","Mercedes-Benz","C-Class","2016","22,000","95000"
"Mercedes C200, Full Option, Warranty, GCC","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/11/19/2014-mercedes-c200-18tc-full-service-histo-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=41","Mercedes-Benz","C-Class","2014","78,395","65000"
"(( RECENT SERVICE )) MERCEDES-BENZ C200 2.0 I...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/12/13/-recent-service-mercedes-benz-c200-20-i4-t-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=42","Mercedes-Benz","C-Class","2017","29,000","139000"
"(( ONLY 40KM )) 2019 MERCEDES-BENZ C200 2.0 I...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/12/29/-only-40km-2019-mercedes-benz-c200-20-i4-t-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=43","Mercedes-Benz","C-Class","2019","40","213000"
"Mercedes C200 AMG 2017...Panoramic roof..Lady...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/20/mercedes-benz-c200-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=44","Mercedes-Benz","C-Class","2017","17,148","168999"
"Mercedes C200 AMG 2016 GCC - Warranty/FSH/Ful...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/20/mercedes-c200-amg-2016-gcc-warrantyfshfull-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=45","Mercedes-Benz","C-Class","2016","58,817","129500"
"MERCEDES BENZ C200 AMG 2016 GCC EMI 1,650 AED","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/12/13/mercedes-benz-c200-amg-2016-gcc-emi-1-650--2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=46","Mercedes-Benz","C-Class","2016","100,000","108000"
"Mercedes C63 BRABUS B63 2013 GCC","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/16/mercedes-c63-brabus-b63-2013-gcc-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=47","Mercedes-Benz","C-Class","2013","6,500","285000"
