"title","url","maker","type","year","km","price"
"Audi","https://dubai.dubizzle.com/motors/used-cars/audi/a5/2019/1/22/audi-a5-2011-sline-gcc-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=37","Audi","A5","2011","159,000","34000"
"BMW X6 50i XDrive, 2018 under warranty","https://dubai.dubizzle.com/motors/used-cars/bmw/x6/2018/9/25/bmw-x6-50i-xdrive-2018-under-warranty-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=38","BMW","X6","2018","2,000","260000"
"Mercedes E350 - Convertible - Lady Driven - 2...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2018/10/25/mercedes-e350-convertible-lady-driven-2013-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=39","Mercedes-Benz","E-Class","2013","141,000","71500"
"3 Y Warranty! Opel Insignia OPC 2.8L V6 AWD -...","https://dubai.dubizzle.com/motors/used-cars/opel/insignia/2019/1/10/3-y-warranty-opel-insignia-opc-28l-v6-awd--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=40","Opel","Insignia","2015","23,000","74000"
"3 Y Warranty! Nissan 370Z - GCC - AED 1,253 p...","https://dubai.dubizzle.com/motors/used-cars/nissan/350z/2019/1/13/3-y-warranty-nissan-370z-gcc-aed-1-253-per-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=41","Nissan","350Z","2014","89,000","64000"
"MAZDA 3 (2016) 1.6 IN GOOD SHAPE, CRUIZ CONTR...","https://dubai.dubizzle.com/motors/used-cars/mazda/3/2019/1/21/mazda-3-2016-in-very-good-shape-must-sell--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=42","Mazda","3","2016","102,000","31000"
"GTS LADY DRIVEN SINGLE OWNER CLEAN EXCELLENT ...","https://dubai.dubizzle.com/motors/used-cars/porsche/cayenne/2019/1/28/gts-lady-driven-single-owner-clean-excelle-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=43","Porsche","Cayenne","2013","130,000","125000"
"CIVIC ( ONLY MONTHLY INSTALLMENT CAR LOAN)","https://dubai.dubizzle.com/motors/used-cars/honda/civic/2018/9/16/honda-civic-only-monthly-installment-no-ex-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=44","Honda","Civic","2018","8,500","49500"
"15 GX SUV P 4.6L AT Prestige Ref# 5361","https://dubai.dubizzle.com/motors/used-cars/lexus/gx-series/2018/12/4/15-gx-suv-p-46l-at-prestige-ref-5361-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=45","Lexus","GX-Series","2015","63,851","144000"
"Range Rover HSE 2014 - Under Warranty - GCC -...","https://dubai.dubizzle.com/motors/used-cars/land-rover/range-rover/2019/1/28/range-rover-hse-2014-under-warranty-gcc-fu-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=46","Land Rover","Range Rover","2014","76,000","205000"
"17 RX SUV P 3.5L AT Prestige Ref# 7870","https://dubai.dubizzle.com/motors/used-cars/lexus/rx-series/2018/5/31/17-rx-suv-p-35l-at-prestige-ref-7870-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=47","Lexus","RX-Series","2017","3,450","198450"
